label,text
1,"To understand climate change, understand these three numbers."
0,I wrote about three numbers in a piece last summer for Rolling Stone 
0,it was the issue with Justin Bieber on the cover 
0,the next day I got a call from the editor saying your piece gotten 10 times more likes on Facebook than Justin Bieber's
0,the next day I got a call from the editor saying your piece gotten 10 times more likes on Facebook than Justin Bieber's
0,some of that is doubtless the result of my sort of Soulful stare 
0,but mostly it's because we managed to just kind of lay out this math in a very straightforward way that people needed to understand
0,shall we work through the numbers
2,they're three and they're easy the first one's 2° 
1,that's how much the world has said it would be safe to let the planet warm 
1,in political terms it's the only thing that anybody's agreed to 
0,some of you may remember that climate Summit in Copenhagen 
0,there was only one number in the final two-page voluntary Accord that people signed 
0,only one number in it 2° 
0,every signatory pledged to make sure the temperature wouldn't rise above that the EU Japan Russia China countries that
0,make their money selling oil like the United Arab Emirates the most conservative recalcitrant reluctant countries on Earth even the United States
0,make their money selling oil like the United Arab Emirates the most conservative recalcitrant reluctant countries on Earth even the United States
2,if the world officially believes anything about climate change it's the two degrees is too much 
2,if the world officially believes anything about climate change it's the two degrees is too much 
2,second number scientists have calculated how much carbon we could pour into the atmosphere and have a reasonable chance of staying below 2°
2,second number scientists have calculated how much carbon we could pour into the atmosphere and have a reasonable chance of staying below 2°
2,they say about 565 more gigatons a gigaton is a billion tons
0,that's not a perfect chance that's worse odds than Russian Roulette you know
0,it sounds like it should be it is a lot
2,565 billion tons of CO2 the problem is we pour 30 billion tons a year
2,and now it goes up 3% a year do the math and it's about 15 years before we go past that threshold
2,so that's sobering news 
2,but the scary number is the third number the third number was the important one and the new one 
0,and it came from a team of financial analysts in the United Kingdom
0,and what they did was sit down with all the annual reports and SEC filings and settings and figure out how much carbon the world's fossil fuel industry how much they had already in their reserves 
2,and what they did was sit down with all the annual reports and SEC filings and settings and figure out how much carbon the world's fossil fuel industry how much they had already in their reserves 
2,and what they did was sit down with all the annual reports and SEC filings and settings and figure out how much carbon the world's fossil fuel industry how much they had already in their reserves 
2,and that number turned out to be 2795 gigatons worth of carbon
2,five times as much as the most conservative governments on Earth think would be safe to pour into the atmosphere
0,it's not even close 
2,I mean it's you know five times more 
2,once you know that number then you understand the essence of this problem
2,[Music]
