label,text
0,How COVID-19 is impacting air pollution and climate change
1,People from Beijing to Delhi to Los Angeles have noticed bluer skies and less haze as lockdowns were imposed for the pandemic.
1,People from Beijing to Delhi to Los Angeles have noticed bluer skies and less haze as lockdowns were imposed for the pandemic.
0,But this year is still on track to be the hottest year on record. Why is the air getting cleaner yet warmer?
1,"Satellite observations of nitrogen dioxide, a byproduct of burning fossil fuels, show that levels of air pollutant are going down"
1,"Satellite observations of nitrogen dioxide, a byproduct of burning fossil fuels, show that levels of air pollutant are going down"
1,Clearer skies also tell us there’s less particulate matter in the air. 
0,Particles are tiny bits of soot and other substances floating in the air.
2,"Particles reflect away sunlight,so paradoxically fewer particles might mean more warming."
2,"But while those pollutants stay in the air for days, the heat-trapping gas carbon dioxide remains in the atmosphere for centuries."
1,Carbon dioxide levels will only stabilize when emissions fall into a net zero balance with sinks of the gas like vegetation and oceans.
1,Carbon dioxide levels will only stabilize when emissions fall into a net zero balance with sinks of the gas like vegetation and oceans.
2,"Even with declines in CO2 this year, the Earth is nowhere near achieving that balance."
0,[music]
0,[music]
0,[music]
