label,text,predicted_label
1, Earth Is Blue: Climate Change in your Sanctuaries,1
1, From the tropical coral reefs of the pacific islands to shipwrecks in the cold waters of lake euron and lake michigan noaa protects a system of national marine sanctuaries and monuments in some of america's most spectacular places.,0
1, From the tropical coral reefs of the pacific islands to shipwrecks in the cold waters of lake euron and lake michigan noaa protects a system of national marine sanctuaries and monuments in some of america's most spectacular places.,0
1, From the tropical coral reefs of the pacific islands to shipwrecks in the cold waters of lake euron and lake michigan noaa protects a system of national marine sanctuaries and monuments in some of america's most spectacular places.,0
1, These underwater parks protect natural and cultural resources that sustain livelihoods by providing recreation economic benefits and coastal protection.,0
1, These underwater parks protect natural and cultural resources that sustain livelihoods by providing recreation economic benefits and coastal protection.,0
1, These underwater parks protect natural and cultural resources that sustain livelihoods by providing recreation economic benefits and coastal protection.,0
1, They remind us of important ties to our history and between cultures and fill us with a sense of wonder.,0
1, They remind us of important ties to our history and between cultures and fill us with a sense of wonder.,0
2, But our world is rapidly warming and the impacts are being felt in our national marine sanctuaries and the communities they support.,1
2, Warming waters cause coral reefs to bleach and kelp forests to collapse.,1
2, Warming waters cause coral reefs to bleach and kelp forests to collapse.,1
2, More acidic waters and declining dissolved oxygen levels are stressing ecosystems.,2
2, More acidic waters and declining dissolved oxygen levels are stressing ecosystems.,1
2, Species are moving to new locations in response to a changing ocean.,1
2, Rising seas and increasingly strong storms are damaging coastal habitats and historic shipwrecks.,1
2, In this rapidly changing environment national marine sanctuaries and other marine protected areas are more important than ever.,0
1, Acting as refuges for biodiversity and offering nature-based solutions for flood and erosion control food security and carbon storage.,1
1, Acting as refuges for biodiversity and offering nature-based solutions for flood and erosion control food security and carbon storage.,1
1, Acting as refuges for biodiversity and offering nature-based solutions for flood and erosion control food security and carbon storage.,1
1, At florida keys national marine sanctuary scientists and managers are working with partners to restore seven iconic coral reefs using corals that are more resistant to the effects of warming acidification and disease.,1
1, At florida keys national marine sanctuary scientists and managers are working with partners to restore seven iconic coral reefs using corals that are more resistant to the effects of warming acidification and disease.,1
1, At florida keys national marine sanctuary scientists and managers are working with partners to restore seven iconic coral reefs using corals that are more resistant to the effects of warming acidification and disease.,1
1, Creating reefs better adapted to future ocean conditions.,1
1, Sanctuaries also protect and restore what we call blue carbon ecosystems like sea grasses mangroves and kelp forests that pull carbon dioxide out of the atmosphere.,1
1, Sanctuaries also protect and restore what we call blue carbon ecosystems like sea grasses mangroves and kelp forests that pull carbon dioxide out of the atmosphere.,1
2, Eventually burying it in sediments where it can't contribute to warming.,1
1, Sanctuaries are magnets for scientific research where we work to understand the effects of climate change on the food webs that support seabirds whales fish and humans.,1
1, Sanctuaries are magnets for scientific research where we work to understand the effects of climate change on the food webs that support seabirds whales fish and humans.,1
1, Sanctuaries help us understand human connections to the ocean.,0
0, And how changes will affect us?,0
1, Olympic coast national marine sanctuary and others around the country engage with tribes to understand how climate change and ocean acidification may affect important food and cultural resources and develop solutions to address these challenges.,1
1, Olympic coast national marine sanctuary and others around the country engage with tribes to understand how climate change and ocean acidification may affect important food and cultural resources and develop solutions to address these challenges.,1
1, Olympic coast national marine sanctuary and others around the country engage with tribes to understand how climate change and ocean acidification may affect important food and cultural resources and develop solutions to address these challenges.,1
1, We're working across cultures to protect the extraordinary places we care about while learning about our integral and unending connection to the changing world around us.,1
1, We're working across cultures to protect the extraordinary places we care about while learning about our integral and unending connection to the changing world around us.,1
1, We all rely on healthy marine ecosystems to support life on our planet.,0
1, Together we can address the causes and impacts of climate change to ensure that our spectacular ocean and great lakes continue to thrive while supporting our economies and values.,1
1, Together we can address the causes and impacts of climate change to ensure that our spectacular ocean and great lakes continue to thrive while supporting our economies and values.,1
1, Together we can address the causes and impacts of climate change to ensure that our spectacular ocean and great lakes continue to thrive while supporting our economies and values.,1
1, And revealing their wonders for generations to come.,0
1, [Music],0
0, ,0
0, ,0
0, ,0
