label,text,predicted_label
0,Human Rights Day 2012: Climate Change and Human Rights,1
0,[music],0
2,last year weather events displaces more people than wars,1
2, [music],0
2, [music],1
0,climate change,1
0,climate is changing,1
2, climate change is not just an environmental issue,1
2, it knocks emerging economies off their tracks,1
2, it obstructs progress towards the millennium development goals,1
2, it drives migration it amplifies poverty and inequalities,2
0, is a human rights issue,1
2, the impacts of climate change are,1
2, contributing to major food and water shortages damage and destruction of,2
2, homes schools and hospitals and physical risks to vulnerable people,1
2,themselves from extreme weather,1
0,everything in our country is changing in the last four or five yeas,1
2,we are unable to do anything we are trying but nothing is happening,0
2,now our livelihood is in danger after cyclone Lila everything was destroyed,1
2,nothing is left all the trees are dead,2
2,people suffered heavy loss in our area now there are just,1
2,empty fields remaining you look into the emptiness just water and water,0
2,the land is covered with silt up to the knees,0
2,my name is habit marinade,0
0,"I’m 50 years old, I came from Hagar, Somalia",0
2,because of the drought I lost 50 cows and 40 goats,1
2,"and I had to escape to Dadaab, Kenya’s refugee camp",1
2,you know devastated the society,1
2,80 percent to 90 percent of the housing stock was destroyed,0
2, we were paralyzed once we have been affected with such disaster,1
2,our entire economy collapsed experts estimate that ,2
0,by 2020 up to 250 million people across africa will experience,1
2, water stress due to climate change as demand outstrips supply,1
2, the impacts of climate change are likely,1
2,to lead to an additional 35 to 170 million undernourished people,1
2,in developing countries by 2080,1
0, everyone no matter who they are where they're from ,0
0,or what job they do has the same human rights,0
1, this human rights day stand up for the human rights of people affected by climate change,1
1, join the environmental justice foundation and support the call for a new special,2
1,rapporteur on climate change in the united nations human rights council,1
0,for more information go to www.ejfoundation.org,0
