label,text
1, Climate Change is Water Change
0, [Music]
1, Climate change is water change.
1, And we are seeing the greatest impacts of climate change felt through water resources.
1, And despite knowing that we really haven't seen water showing up in the climate dialogues in the past it's been conspicuously absent.
1, And despite knowing that we really haven't seen water showing up in the climate dialogues in the past it's been conspicuously absent.
1, That is starting to change and pop 26 at glasgow is a great example of this change that is happening.
1, That is starting to change and pop 26 at glasgow is a great example of this change that is happening.
0, [Music]
0, [Music]
0, [Music]
0, [Music]
